Transaction ID,Date,Customer ID,Age,Quantity,Price per Unit,Total Amount,Year,Month,Day,Weekday,Weekend_Flag,Calculated_Total,Gender_Male,Product Category_Clothing,Product Category_Electronics,Age_Group_Young,Age_Group_Adult,Age_Group_Senior,Age_Group_Old,Holiday_Flag,Discount,Anomaly
1,2023-11-24,CUST001,34,3,50,150,2023,11,24,4,0,150,True,False,False,False,True,False,False,1,38,0
2,2023-02-27,CUST002,26,2,500,1000,2023,2,27,0,0,1000,False,True,False,True,False,False,False,0,28,0
3,2023-01-13,CUST003,50,1,30,30,2023,1,13,4,0,30,True,False,True,False,False,True,False,0,14,0
4,2023-05-21,CUST004,37,1,500,500,2023,5,21,6,1,500,True,True,False,False,True,False,False,0,7,0
5,2023-05-06,CUST005,30,2,50,100,2023,5,6,5,1,100,True,False,False,True,False,False,False,0,20,0
6,2023-04-25,CUST006,45,1,30,30,2023,4,25,1,0,30,False,False,False,False,True,False,False,0,38,0
7,2023-03-13,CUST007,46,2,25,50,2023,3,13,0,0,50,True,True,False,False,False,True,False,0,18,0
8,2023-02-22,CUST008,30,4,25,100,2023,2,22,2,0,100,True,False,True,True,False,False,False,0,22,0
9,2023-12-13,CUST009,63,2,300,600,2023,12,13,2,0,600,True,False,True,False,False,False,True,1,10,0
10,2023-10-07,CUST010,52,4,50,200,2023,10,7,5,1,200,False,True,False,False,False,True,False,1,10,0
11,2023-02-14,CUST011,23,2,50,100,2023,2,14,1,0,100,True,True,False,True,False,False,False,0,23,0
12,2023-10-30,CUST012,35,3,25,75,2023,10,30,0,0,75,True,False,False,False,True,False,False,1,35,0
13,2023-08-05,CUST013,22,3,500,1500,2023,8,5,5,1,1500,True,False,True,True,False,False,False,0,39,0
14,2023-01-17,CUST014,64,4,30,120,2023,1,17,1,0,120,True,True,False,False,False,False,True,0,23,0
15,2023-01-16,CUST015,42,4,500,2000,2023,1,16,0,0,2000,False,False,True,False,True,False,False,0,2,1
16,2023-02-17,CUST016,19,3,500,1500,2023,2,17,4,0,1500,True,True,False,True,False,False,False,0,21,0
17,2023-04-22,CUST017,27,4,25,100,2023,4,22,5,1,100,False,True,False,True,False,False,False,0,1,0
18,2023-04-30,CUST018,47,2,25,50,2023,4,30,6,1,50,False,False,True,False,False,True,False,0,23,0
19,2023-09-16,CUST019,62,2,25,50,2023,9,16,5,1,50,False,True,False,False,False,False,True,0,29,0
20,2023-11-05,CUST020,22,3,300,900,2023,11,5,6,1,900,True,True,False,True,False,False,False,1,37,0
21,2023-01-14,CUST021,50,1,500,500,2023,1,14,5,1,500,False,False,False,False,False,True,False,0,1,0
22,2023-10-15,CUST022,18,2,50,100,2023,10,15,6,1,100,True,True,False,False,False,False,False,1,20,0
